detid,flow
-186623965#14,33
-186623965#16,12
-22917421#14,20
-23283579#0,19
-23283579#1,19
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,5
-28675510#5,6
-297047307,62
-297047310#2,26
-297047310#3,26
-309744810#1,10
-4936412,47
-8716807#0,16
-8716807#4,16
-8716807#5,16
133081985#0,28
133081985#1,28
133081987#0,47
133081987#3,57
186623965#15,0
22917421#5,6
22959550#0,27
22959550#1,11
22959550#3,11
22959550#4,11
23283435#1,19
23647126,16
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,58
28675510#0,63
28675510#1,79
28675510#4,20
297047310#4,9
