travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
4.2,0,Human,0,0,0,99,-4.2,"-45.831956079990725,-45.799780425883796,-45.62699527337481"
1.3166666666666667,1,Human,0,1,0,58,-1.3166666666666667,"-17.062086879109668,-16.69594904847736,-17.474973906814455"
5.016666666666667,2,Human,0,0,0,112,-5.016666666666667,"-51.06818941577175,-51.44235935688451,-50.414651995757396"
5.216666666666667,3,Human,0,0,0,118,-5.216666666666667,"-54.77076373093827,-53.87026597716015,-53.34528745623775"
1.7166666666666666,4,Human,1,1,0,31,-1.7166666666666666,"-16.280931354113424,-16.534580244376478,-16.759619570133562"
5.533333333333333,5,Human,1,0,0,50,-5.533333333333333,"-22.30393695293743,-24.06072754214538,-22.492484335953037"
3.9166666666666665,6,Human,0,0,0,93,-3.9166666666666665,"-39.90035915993913,-38.798418659633526,-39.16660296581766"
5.983333333333333,7,Human,1,0,0,80,-5.983333333333333,"-33.554243969893456,-34.844563066654274,-32.897195540835426"
2.2333333333333334,8,Human,0,1,0,89,-2.2333333333333334,"-28.43575196300264,-28.297978856106052,-28.97903107335777"
5.3,9,Human,1,1,1,64,-5.3,"-46.087486454762114,-47.74013589052756,-46.3238811204648"
5.066666666666666,10,Human,0,0,0,116,-5.066666666666666,"-53.35791962067336,-52.680895943424055,-52.107283707411035"
6.016666666666667,11,Human,0,1,1,113,-6.016666666666667,"-64.67693708359538,-63.57844956142134,-63.77955098707593"
2.7333333333333334,12,Human,0,1,0,91,-2.7333333333333334,"-28.50444004648906,-28.38567303221501,-27.825100480712347"
5.083333333333333,13,Human,0,0,1,123,-5.083333333333333,"-48.247866424018525,-46.74924763571528,-47.49143019744036"
4.216666666666667,14,Human,0,0,0,104,-4.216666666666667,"-45.620680429574485,-46.064034019214986,-45.13992531218021"
2.15,15,Human,0,1,0,64,-2.15,"-25.215806443917803,-25.03718248689641,-25.856301719685124"
7.6,16,Human,2,1,1,101,-7.6,"-59.20310516482603,-60.2800250553077,-61.546353385947796"
3.5166666666666666,17,Human,1,1,0,61,-3.5166666666666666,"-26.122099065444438,-26.865190164310814,-26.351946339878484"
3.6166666666666667,18,Human,0,1,0,116,-3.6166666666666667,"-35.19312959206662,-34.72867391628509,-34.779404789789346"
2.216666666666667,19,Human,0,1,0,88,-2.216666666666667,"-27.357473718652486,-27.352164604588683,-27.105155172778815"
4.95,20,Human,0,1,1,84,-4.95,"-55.94692224225257,-55.95161718684382,-54.704312411668845"
5.366666666666666,21,Human,1,0,0,69,-5.366666666666666,"-34.18227292887408,-34.863279885822756,-33.71478893660042"
5.116666666666666,22,Human,0,0,0,126,-5.116666666666666,"-53.690822070039545,-53.26788251197312,-52.2119337167579"
2.15,23,Human,0,1,0,85,-2.15,"-27.799895176576467,-27.27974580034598,-27.398988247711994"
2.7666666666666666,24,Human,0,0,0,77,-2.7666666666666666,"-33.38233257326176,-33.495317186736926,-33.13203291490491"
4.95,25,Human,0,1,1,79,-4.95,"-53.834307899255606,-52.98417679995535,-54.21441084775045"
6.116666666666666,26,Human,0,1,1,105,-6.116666666666666,"-64.1572640390557,-62.382542420719474,-62.535885526066004"
3.933333333333333,27,Human,0,0,1,100,-3.933333333333333,"-36.979173563485446,-36.92457507328723,-36.26567866052395"
2.933333333333333,28,Human,0,1,0,102,-2.933333333333333,"-31.187544356278327,-30.863719847701493,-30.88588378833262"
3.4833333333333334,29,Human,2,1,0,102,-3.4833333333333334,"-30.269255756749082,-29.63230519216955,-30.685225905544016"
6.166666666666667,30,Human,2,0,0,154,-6.166666666666667,"-56.230150911284596,-57.20957013665513,-57.616912191449735"
2.8666666666666667,31,Human,1,0,1,77,-2.8666666666666667,"-26.512430376754057,-26.53735893918921,-25.87613637258114"
6.583333333333333,32,Human,2,1,1,74,-6.583333333333333,"-48.22089611331951,-47.51220858464502,-48.41497575167045"
3.35,33,Human,2,0,1,65,-3.35,"-20.247088540680608,-20.815163810489228,-21.07009942479866"
4.45,34,Human,0,0,0,108,-4.45,"-49.904084410033725,-48.97057597116718,-49.807261793179855"
5.1,35,Human,0,0,1,123,-5.1,"-48.41707500892006,-47.02957808419268,-47.87043977760039"
4.9,36,Human,0,1,1,86,-4.9,"-55.47493216863032,-55.30669613761747,-54.06817207491599"
2.8333333333333335,37,Human,0,0,0,64,-2.8333333333333335,"-26.164825111543614,-26.009031819602452,-25.937916482490017"
2.1666666666666665,38,Human,0,1,0,65,-2.1666666666666665,"-26.808097253416936,-26.366472011163562,-27.24083639801276"
6.15,39,Human,0,1,1,109,-6.15,"-65.4276554743824,-64.91711214937524,-65.0743743528718"
3.0166666666666666,40,Human,0,1,0,112,-3.0166666666666666,"-34.84207353850023,-34.21550612976224,-35.01665684056669"
3.8333333333333335,41,Human,1,1,0,106,-3.8333333333333335,"-33.067312789576256,-33.42258150124293,-32.524302106698755"
2.9,42,Human,0,0,1,70,-2.9,"-26.79185526206592,-26.662453163056984,-26.372878369699617"
6.316666666666666,43,Human,1,1,1,96,-6.316666666666666,"-52.91912731836235,-54.57111580979904,-54.94797679525437"
2.75,44,Human,0,1,0,93,-2.75,"-28.240632887051497,-28.296484699725315,-27.72235070502287"
3.966666666666667,45,Human,0,0,1,96,-3.966666666666667,"-37.24965386554965,-37.219958729250706,-36.70329621589491"
5.116666666666666,46,Human,0,0,0,116,-5.116666666666666,"-53.69795536204514,-52.76114475965136,-52.3995467239382"
4.116666666666666,47,Human,0,0,0,96,-4.116666666666666,"-45.61874411078555,-44.38559090627613,-45.13682220541733"
3.9833333333333334,48,Human,0,0,1,110,-3.9833333333333334,"-37.65362049957977,-37.64290677169185,-38.3184646265101"
4.316666666666666,49,Human,2,0,1,92,-4.316666666666666,"-30.309909842694406,-30.28365475357745,-30.425102368088652"
7.683333333333334,50,Human,2,1,1,98,-7.683333333333334,"-63.374209192982455,-62.09344967968488,-64.06235769401874"
3.033333333333333,51,Human,0,1,0,108,-3.033333333333333,"-32.89582568650548,-32.376219118403206,-32.4641105067043"
1.9,52,Human,1,0,1,46,-1.9,"-16.40195868497232,-16.693514219597123,-16.403389699570592"
3.7666666666666666,53,Human,2,1,0,80,-3.7666666666666666,"-27.40799080480928,-27.61434250432638,-28.32356616182164"
5.066666666666666,54,Human,0,1,1,75,-5.066666666666666,"-53.877581645949896,-52.78285831988148,-53.27836768604187"
2.933333333333333,55,Human,0,0,1,70,-2.933333333333333,"-27.031209407676354,-26.92735621164627,-26.568133943543216"
3.066666666666667,56,Human,1,0,1,81,-3.066666666666667,"-26.038772099636383,-26.992142397790953,-26.13195036554172"
5.016666666666667,57,Human,0,0,0,134,-5.016666666666667,"-52.58539100039298,-52.62641145221093,-51.73531563885027"
3.5,58,Human,1,1,0,64,-3.5,"-26.20469328195692,-26.834696018195313,-26.318636883197815"
5.1,59,Human,0,0,1,119,-5.1,"-48.504425521539574,-46.99815336909995,-47.57361834606963"
5.333333333333333,60,Human,1,0,0,39,-5.333333333333333,"-20.55451061036327,-21.88183858731622,-20.62873253704923"
6.45,61,Human,2,1,1,79,-6.45,"-52.203555582870486,-53.14590149905908,-53.68764868875818"
3.933333333333333,62,Human,0,0,0,94,-3.933333333333333,"-42.39359472687586,-41.52930117839117,-41.51048027900417"
6.0,63,Human,0,1,1,107,-6.0,"-63.73096244708466,-62.90586270146773,-63.165483168554346"
4.983333333333333,64,Human,0,0,0,111,-4.983333333333333,"-51.358461907980434,-50.41197321826917,-50.37884977758817"
5.05,65,Human,0,0,0,113,-5.05,"-52.3293978838854,-52.6967199948884,-51.4853473819321"
2.8666666666666667,66,Human,1,0,1,79,-2.8666666666666667,"-26.378994696672848,-26.471419304868384,-25.835816735594957"
3.7,67,Human,2,0,0,76,-3.7,"-33.030213121432574,-33.33449094036601,-34.12336525616754"
5.133333333333334,68,Human,0,0,1,115,-5.133333333333334,"-48.305387627123196,-47.31888454785899,-47.995754819012646"
2.9833333333333334,69,Human,0,0,1,84,-2.9833333333333334,"-27.048610262811223,-26.589451269715262,-26.81265523158617"
1.3,70,Human,0,1,0,51,-1.3,"-17.432643718706796,-17.239598977482274,-17.87070188574234"
1.9666666666666666,71,Human,2,0,1,56,-1.9666666666666666,"-16.25720833063957,-16.143566537317984,-16.579974186620944"
6.75,72,Human,2,1,1,62,-6.75,"-41.635628234557856,-42.0471387058226,-42.901251560601374"
7.6,73,Human,2,1,1,104,-7.6,"-62.47206000856464,-61.09493193445184,-63.29179221507195"
4.066666666666666,74,Human,0,0,0,94,-4.066666666666666,"-42.98480344019365,-42.17788416900952,-42.48560985580487"
4.45,75,Human,0,0,0,110,-4.45,"-50.629530531048246,-49.756757946017565,-49.94335940295057"
2.1666666666666665,76,Human,0,1,0,77,-2.1666666666666665,"-26.84464972601301,-26.51438773468903,-27.134175101415927"
6.45,77,Human,1,0,0,94,-6.45,"-44.53025337601271,-46.108078521889844,-45.42490091822465"
7.066666666666666,78,Human,1,0,0,108,-7.066666666666666,"-49.4135322558072,-51.12153385036441,-49.92144085474044"
6.1,79,Human,1,0,0,80,-6.1,"-38.42892676869914,-39.73147100671922,-37.9593697167549"
4.2,80,Human,0,0,0,103,-4.2,"-45.63430889606717,-45.444104366675155,-44.947564640100865"
2.1333333333333333,81,Human,0,1,0,70,-2.1333333333333333,"-26.974477063408713,-26.994075081730866,-26.977226926012563"
2.933333333333333,82,Human,1,0,1,79,-2.933333333333333,"-26.672358633156502,-26.77124189484805,-26.02528450338369"
2.183333333333333,83,Human,0,1,0,78,-2.183333333333333,"-26.556193843754887,-26.50704640015065,-27.00788956385288"
1.8166666666666667,84,Human,1,0,1,54,-1.8166666666666667,"-15.841875870902134,-16.00143603426347,-15.553811724360084"
4.15,85,Human,2,0,1,104,-4.15,"-36.79870479059142,-35.878812354104575,-37.135814655756796"
2.1666666666666665,86,Human,0,1,0,75,-2.1666666666666665,"-26.768265035108985,-26.30581495106935,-27.05267256577668"
3.933333333333333,87,Human,0,0,0,90,-3.933333333333333,"-38.550399585390416,-37.846431018695945,-37.66128500419395"
6.133333333333334,88,Human,0,1,1,104,-6.133333333333334,"-63.396963406451626,-62.79202519430901,-61.91531871509432"
7.633333333333334,89,Human,2,1,1,103,-7.633333333333334,"-60.952746966631025,-59.87502966957697,-62.476512766517196"
4.266666666666667,90,Human,2,1,0,109,-4.266666666666667,"-34.54274591932246,-34.1490682225454,-35.12925555014057"
3.9166666666666665,91,Human,0,0,0,87,-3.9166666666666665,"-39.13426307070149,-39.59251835766981,-38.160160935460226"
6.716666666666667,92,Human,1,1,1,77,-6.716666666666667,"-54.92997371039434,-56.27734435538278,-54.4907962434914"
3.95,93,Human,0,0,0,87,-3.95,"-38.410269490364904,-37.92278181634799,-37.819203845694055"
5.366666666666666,94,Human,1,0,0,39,-5.366666666666666,"-20.926532905268587,-22.107934180140123,-20.813099621944158"
1.35,95,Human,0,1,0,46,-1.35,"-17.92099877826706,-17.518357171512786,-18.181980163610902"
2.933333333333333,96,Human,2,1,0,50,-2.933333333333333,"-17.158254939885932,-17.112531769725177,-17.73288061521225"
5.383333333333334,97,Human,1,1,1,60,-5.383333333333334,"-36.55259305409753,-37.32394428370521,-36.30281590322939"
4.2,98,Human,0,0,0,101,-4.2,"-45.77319401526852,-44.77667537302199,-45.48483538163471"
2.15,99,Human,0,1,0,62,-2.15,"-25.586865313146884,-25.67227780618752,-26.21785233906813"
